[2026-08-21 11:51:56] [WARNING] [FAILED_LOGIN] User: admin" or "1"="1 | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Failed login attempt (unknown username): admin" or "1"="1
[2026-08-21 11:52:02] [WARNING] [FAILED_LOGIN] User: admin" or "1"="1 | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Failed login attempt (unknown username): admin" or "1"="1
[2026-08-21 11:52:32] [WARNING] [FAILED_LOGIN] User: or 1=1 | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Failed login attempt (unknown username): or 1=1
[2026-08-21 11:52:39] [WARNING] [FAILED_LOGIN] User: or 1=1 | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Failed login attempt (unknown username): or 1=1
[2026-08-21 12:49:52] [INFO] [LOGIN_SUCCESS] User: admin | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Admin logged in successfully (admin)
[2026-08-21 13:13:06] [WARNING] [FAILED_LOGIN] User: Justine | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Failed login attempt (bad password) for user: Justine
[2026-08-21 13:13:18] [WARNING] [FAILED_LOGIN] User: Justine | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Failed login attempt (bad password) for user: Justine
[2026-08-21 13:13:25] [INFO] [LOGIN_SUCCESS] User: Justine | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Admin logged in successfully (receptionist)
[2026-08-21 13:14:10] [INFO] [LOGIN_SUCCESS] User: admin | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login.php | Admin logged in successfully (admin)
[2026-08-22 08:38:02] [INFO] [LOGIN_SUCCESS] User: admin | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 08:49:27] [WARNING] [PASSWORD_CHANGE_FAILED] User: admin | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/settings | Incorrect current password attempt
[2026-08-22 08:55:17] [WARNING] [PASSWORD_CHANGE_FAILED] User: admin | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/settings | Incorrect current password attempt
[2026-08-22 08:58:04] [INFO] [LOGIN_SUCCESS] User: justinebatuhan@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 08:58:30] [INFO] [STAFF_CREATED] User: justinebatuhan@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/admin_staff | Added receptionist account: Isandro
[2026-08-22 08:59:14] [WARNING] [STAFF_DELETED] User: justinebatuhan@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/admin_staff | Removed staff account: Isandro
[2026-08-22 08:59:32] [INFO] [PASSWORD_RESET] User: justinebatuhan@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/admin_staff | Reset password for staff: Justinebatuhan@beachclub.com
[2026-08-22 10:11:18] [INFO] [USERNAME_CHANGED] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/settings | Username changed from justinebatuhan@beachclub.com to admin@beachclub.com
[2026-08-22 11:52:34] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 17:48:15] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: 192.168.1.8 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 21:52:09] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 21:55:23] [WARNING] [FAILED_LOGIN] User: justine@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Failed login attempt (bad password) for user: justine@beachclub.com
[2026-08-22 21:55:37] [WARNING] [FAILED_LOGIN] User: justine@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Failed login attempt (bad password) for user: justine@beachclub.com
[2026-08-22 21:55:41] [WARNING] [FAILED_LOGIN] User: justine@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Failed login attempt (bad password) for user: justine@beachclub.com
[2026-08-22 21:55:45] [WARNING] [FAILED_LOGIN] User: justine@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Failed login attempt (bad password) for user: justine@beachclub.com
[2026-08-22 21:55:56] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 22:09:36] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 22:10:02] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 22:12:42] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 22:13:52] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 22:14:18] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 22:16:52] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
[2026-08-22 22:20:18] [INFO] [LOGIN_SUCCESS] User: admin@beachclub.com | IP: ::1 | URI: /SantaBeachClub-BookingSystem/frontend/login | Admin logged in successfully (admin)
